Author file,date
0_grubeli: app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021-11-16T14:04:57Z
1_Scott Alexander-Bown: app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021-05-24T07:46:20Z
2_Scott Alexander-Bown: app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021-05-24T07:45:07Z
3_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2021-05-24T07:35:11Z
4_Scott Alexander-Bown: rootbeerlib/src/main/AndroidManifest.xml,2021-05-22T13:42:21Z
5_Scott Alexander-Bown: rootbeerlib/src/main/cpp/CMakeLists.txt,2021-05-22T13:42:21Z
6_Scott Alexander-Bown: rootbeerlib/src/main/cpp/toolChecker.cpp,2021-05-22T13:42:21Z
7_Scott Alexander-Bown: rootbeerlib/src/main/cpp/toolChecker.h,2021-05-22T13:42:21Z
8_Scott Alexander-Bown: rootbeerlib/src/main/jni/Android.mk,2021-05-22T13:42:21Z
9_Scott Alexander-Bown: rootbeerlib/src/main/jni/Application.mk,2021-05-22T13:42:21Z
10_Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,2021-05-22T13:42:21Z
11_Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2021-05-22T13:42:21Z
12_Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,2021-05-22T13:42:21Z
13_Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,2021-05-22T13:42:21Z
14_Scott Alexander-Bown: app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021-05-21T14:40:38Z
15_Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,2021-05-21T14:40:38Z
16_Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2021-05-21T14:40:38Z
17_Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,2021-05-21T14:40:38Z
18_Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,2021-05-21T14:40:38Z
19_Scott Alexander-Bown: app/src/main/ic_launcher-playstore.png,2021-05-08T16:42:23Z
20_Scott Alexander-Bown: app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,2021-05-08T16:42:23Z
21_Scott Alexander-Bown: app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,2021-05-08T16:42:23Z
22_Scott Alexander-Bown: app/src/main/res/mipmap-hdpi/ic_launcher.png,2021-05-08T16:42:23Z
23_Scott Alexander-Bown: app/src/main/res/mipmap-hdpi/ic_launcher_foreground.png,2021-05-08T16:42:23Z
24_Scott Alexander-Bown: app/src/main/res/mipmap-hdpi/ic_launcher_round.png,2021-05-08T16:42:23Z
25_Scott Alexander-Bown: app/src/main/res/mipmap-mdpi/ic_launcher.png,2021-05-08T16:42:23Z
26_Scott Alexander-Bown: app/src/main/res/mipmap-mdpi/ic_launcher_foreground.png,2021-05-08T16:42:23Z
27_Scott Alexander-Bown: app/src/main/res/mipmap-mdpi/ic_launcher_round.png,2021-05-08T16:42:23Z
28_Scott Alexander-Bown: app/src/main/res/mipmap-xhdpi/ic_launcher.png,2021-05-08T16:42:23Z
29_Scott Alexander-Bown: app/src/main/res/mipmap-xhdpi/ic_launcher_foreground.png,2021-05-08T16:42:23Z
30_Scott Alexander-Bown: app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,2021-05-08T16:42:23Z
