18,Filename,2015|2021,6|11,19|16
grubeli,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021,11,16
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021,5,24
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021,5,24
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021,5,21
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,2021,5,8
Matthew Rollings,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2021,5,24
Scott Alexander-Bown,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2021,5,8
Matthew Rollings,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2019,3,14
Matthew Rollings,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2017,3,29
Scott Alexander-Bown,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2015,6,30
Matthew Rollings,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2015,6,30
Scott Alexander-Bown,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2015,6,30
Matthew Rollings,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2015,6,30
Matthew Rollings,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2015,6,26
Scott Alexander-Bown,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2015,6,26
Scott Alexander-Bown,rootbeerlib/src/main/cpp/toolChecker.cpp,2021,5,22
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2021,5,8
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2020,2,3
Daniel Kutik,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2019,11,16
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2019,3,14
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2018,3,20
altvnv,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2018,3,16
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2017,3,29
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2017,2,15
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2016,7,1
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2016,7,1
Andy Barber,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2016,7,1
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2021,5,8
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2020,2,3
Daniel Kutik,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2019,11,16
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2017,3,24
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2017,3,24
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2016,7,1
Andy Barber,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2016,7,1
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2016,4,1
Mohammed Ezzat,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2016,3,16
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2015,9,16
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2015,6,30
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2015,6,30
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2015,6,29
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2015,6,26
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,2021,5,8
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,2021,5,8
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,2021,5,8
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2021,5,8
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2020,2,3
Daniel Kutik,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2019,11,16
Daniel Kutik,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2019,11,16
Matthew Rollings,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2017,5,12
Frieder Bluemle,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2017,5,11
Andy Barber,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2016,7,1
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,2021,5,8
Scott Alexander-Bown,app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,2021,5,8
